Type,Start,End,Duration,Extra,Extra2,Note
Sleep,21/7/2017 14:53,,0:00,,,
Pumping,21/7/2017 14:03,,0:00,2.74 oz,,81 ml.  54L + 27R
Bottle feeding,21/7/2017 13:35,,0:00,1.0 oz,Mom's milk,1. Fortify
Vaccination,21/7/2017 13:23,21/7/2017 13:27,0:04,,,
Bottle feeding,21/7/2017 13:12,,0:00,1.5 oz,Mom's milk,1.5. Fortify
Diaper,21/7/2017 12:32,,0:00,"Urine, Feces",,
Right breast,21/7/2017 11:29,21/7/2017 12:31,1:00,,,sleep eating/pooping. loose latch
Left breast,21/7/2017 11:09,21/7/2017 11:29,0:20,,,sleep eating
Left breast,21/7/2017 10:45,21/7/2017 10:59,0:13,,,sleep eating
Sleep,21/7/2017 10:04,21/7/2017 12:31,2:27,,,
Sleep,21/7/2017 10:02,21/7/2017 10:02,0:00,,,
Left breast,21/7/2017 09:58,21/7/2017 10:04,0:06,,,
Right breast,21/7/2017 09:42,21/7/2017 09:45,0:03,,,
Vaccination,21/7/2017 09:37,21/7/2017 09:38,0:01,,,
Sleep,21/7/2017 07:52,21/7/2017 09:28,1:36,,,
Diaper,21/7/2017 07:31,,0:00,"Urine, Feces",,
Pumping,21/7/2017 07:21,,0:00,2.27 oz,,67 ml. 36L + 31R
Sleep,21/7/2017 07:14,,0:00,,,
Sleep,21/7/2017 07:12,,0:00,,,
Diaper,21/7/2017 06:55,,0:00,Urine,,
Bottle feeding,21/7/2017 06:45,,0:00,3.6 oz,Mom's milk,
Pumping,21/7/2017 05:09,,0:00,4.87 oz,,144 ml. 73L + 71R
Sleep,20/7/2017 22:13,21/7/2017 06:45,8:32,,,
Diaper,20/7/2017 22:09,,0:00,Urine,,
Pumping,20/7/2017 22:09,,0:00,2.06 oz,,61 ml. 32L + 29R
Bottle feeding,20/7/2017 21:58,,0:00,0.1 oz,Mom's milk,1
Bottle feeding,20/7/2017 21:49,,0:00,1.0 oz,Mom's milk,1. Fortify
Right breast,20/7/2017 21:40,20/7/2017 21:40,0:00,,,
Bottle feeding,20/7/2017 21:01,,0:00,2.0 oz,Mom's milk,2. Fortify
Right breast,20/7/2017 20:43,,0:00,,,
Bottle feeding,20/7/2017 20:26,,0:00,1.5 oz,Mom's milk,1.5 Fortify
Left breast,20/7/2017 20:17,20/7/2017 20:21,0:02,,,
Right breast,20/7/2017 20:15,20/7/2017 20:17,0:01,,,
Sleep,20/7/2017 19:48,20/7/2017 20:08,0:20,,,
Bottle feeding,20/7/2017 19:38,,0:00,1.6 oz,Mom's milk,1.6. Fortify
Pumping,20/7/2017 19:01,,0:00,1.83 oz,,54 ml. 22L + 32R
Right breast,20/7/2017 18:52,20/7/2017 18:53,0:01,,,
Left breast,20/7/2017 18:47,20/7/2017 18:51,0:04,,,
Vaccination,20/7/2017 18:20,20/7/2017 18:22,0:02,,,
Diaper,20/7/2017 17:47,,0:00,"Urine, Feces",,
Sleep,20/7/2017 17:24,20/7/2017 17:32,0:08,,,
Bottle feeding,20/7/2017 17:06,,0:00,1.0 oz,Mom's milk,1. Fortify
Left breast,20/7/2017 17:00,20/7/2017 17:01,0:01,,,
